[2020-12-25 12:17:11,866] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:17:11,901] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:17:38,871] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:17:38,890] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:36:04,086] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:36:04,105] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:38:14,033] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:38:14,050] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:39:17,396] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:39:17,426] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:40:11,174] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.delete_flow():72] Delete flow
[2020-12-25 12:40:11,221] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:40:11,388] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:40:22,260] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.create_flow():42] Create flow
[2020-12-25 12:40:22,307] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:40:22,503] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:42:38,150] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:42:38,170] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:43:53,473] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:43:53,554] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:44:19,744] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:44:19,762] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:44:42,637] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:44:42,681] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
[2020-12-25 12:45:07,334] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():39] Creating MongoDB connection
[2020-12-25 12:45:07,357] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.Mongo_DB_Connector():48] MongoDB connection closed
